"year","annual.anomaly.unsmoothed","annual.anomaly.two.yr.running.mean","annual.anomaly.three.yr.running.mean","winter.anomaly.unsmoothed","winter.anomaly.two.yr.running.mean","winter.anomaly.three.yr.running.mean"
1950,-1.56728391625836,-1.45690820060948,NA,NA,NA,NA
1951,-1.3465324849606,-1.69309524770493,-1.65115813722274,-2.05344586857455,-1.36736766196582,NA
1952,-2.03965801044926,-1.29797248600343,-1.31415915232249,-0.681289455357091,-0.978045117535173,-1.3365120345483
1953,-0.556286961557606,-0.712550492621018,-1.15491966523043,-1.27480077971326,-1.277188424443,-1.0785554347477
1954,-0.86881402368443,-1.15128344527837,-0.952951284038116,-1.27957606917275,-1.14843025682607,-1.19055376445513
1955,-1.43375286687231,-1.11728010877496,-1.03445808041145,-1.01728444447939,-1.52239602558394,-1.44145604011354
1956,-0.8008073506776,-0.0139925167874633,-0.487245966815746,-2.02750760668848,-1.89318392613555,-1.60121743225016
1957,0.772822317102673,0.433969231614757,0.0223770375173047,-1.75886024558262,-0.638256523435022,-1.10134021785284
1958,0.0951161461268406,-0.250537833556526,0.090582216663207,0.482347198712575,-0.347194664317166,-0.817749858072317
1959,-0.596191813239893,-0.274892985044931,-0.151556607987674,-1.17673652734691,-0.935539024169737,-0.462910283208966
1960,0.046405843150032,-0.407108327982576,-0.470136156401681,-0.694341520992565,-0.753228572988316,-0.894397891107847
1961,-0.860622499115183,-0.73391328434933,-0.473806908516209,-0.812115624984067,-0.673948602801718,-0.680746242198667
1962,-0.607204069583477,-0.51905495240803,-0.632910801310414,-0.535781580619369,-0.549913616053149,-0.637314285696788
1963,-0.430905835232583,-0.662828066282455,-0.644286734049462,-0.564045651486929,-0.551008938061085,-0.54593315224718
1964,-0.894750297332327,-0.990975699428847,-0.804285744696759,-0.537972224635242,-0.734324438156319,-0.677564842599855
1965,-1.08720110152537,-0.546635880434327,-0.662674019400327,-0.930676651677396,-0.534170517789448,-0.535437753404712
1966,-0.00607065934328772,0.685886226433893,0.0948571171141401,-0.137664383901499,-0.114142343836215,-0.386320446449942
1967,1.37784311221107,0.510721029371758,0.338457133133409,-0.0906203037709308,-0.166381973575836,-0.156809443684391
1968,-0.356401053467558,0.0208405694522407,0.473174750371852,-0.242143643380742,-0.278526767715941,-0.215891279734271
1969,0.39808219237204,0.15042488264076,-0.0185170960620125,-0.31490989205114,-0.144142806216886,-0.176809751938171
1970,-0.0972324270905189,-1.08406888232014,-0.590018524089411,0.0266242796173671,-0.14102817073802,-0.19898874450906
1971,-2.07090533754975,-1.82293444706755,-1.24770044040854,-0.308680621093407,-0.834964563494809,-0.547768282457417
1972,-1.57496355658535,-1.18824830351807,-1.48246731486196,-1.36124850589621,-0.979327495392523,-0.755778537292818
1973,-0.801533050450785,-0.288649257318431,-0.717420690407404,-0.597406484888836,-0.318426319636536,-0.666033715056427
1974,0.224234535813923,-0.325162886734347,-0.483952941306493,-0.0394461543842365,-0.174496867788948,-0.315466740155577
1975,-0.874560309282618,-0.874816979267834,-0.508466474240582,-0.30954758119366,-0.753275834758377,-0.515332607966997
1976,-0.875073649253051,-0.10078848720662,-0.358712427898619,-1.19700408832309,-0.462051699996332,-0.411216993728775
1977,0.67349667483981,0.941121977127438,0.335723435000608,0.272900688330429,0.455249776959303,-0.0955015114681622
1978,1.20874727941507,1.51966661469867,1.23760996807905,0.637598865588177,1.10478539622651,0.827490493594485
1979,1.83058594998228,0.942580590136438,1.03130281989598,1.57197192686485,1.19854893197758,1.01156557651444
1980,0.0545752302905969,0.792275162451024,1.13837875829478,0.825125937090305,0.521831958061267,0.871878614329128
1981,1.52997509461145,0.62413997544073,0.434285060390685,0.21853797903223,0.586479440535266,0.666028272720279
1982,-0.281695143729991,0.438216266364472,0.802135875780131,0.954420902038301,0.513440092984762,0.415139388333918
1983,1.15812767645893,0.997827002503656,0.571319620425774,0.0724592839312223,0.631100555437619,0.738874004304513
1984,0.837526328548378,0.548011656423101,0.751383663101712,1.18974182694402,1.5649132425503,1.06742858967727
1985,0.258496984297825,0.476943904871897,0.597138046097391,1.94008465815659,1.57569330084313,1.44704280954342
1986,0.695390825445969,0.745340823430654,0.583059543719711,1.21130194352967,1.47994444425715,1.63332451555696
1987,0.795290821415338,0.680490422763703,0.685457223657791,1.74858694498463,1.40140867382685,1.33803976372779
1988,0.565690024112067,0.72680090472093,0.749630876952399,1.05423040266907,0.644158251751562,1.01230114949592
1989,0.887911785329793,0.730019283435886,0.67524286366128,0.234086100834053,0.379689490710769,0.604536461363537
1990,0.572126781541979,0.801351296415278,0.830204792720116,0.525292880587486,0.612677559984425,0.486480406934301
1991,1.03057581128858,0.380993823534106,0.44470480953673,0.700062239381364,0.865780645522954,0.752284723877798
1992,-0.268588164220367,0.487308040247302,0.668397297261061,1.03149905166454,0.582452425470754,0.621655696774291
1993,1.24320424471497,0.966339821369471,0.554697159506192,0.133405799276966,0.821527283707159,0.891517873026287
1994,0.689475398023972,0.627276179583834,0.832585534627546,1.50964876813735,0.767088351456326,0.555860834063206
1995,0.565076961143695,1.00069258509424,0.896953522737482,0.0245279347752991,0.63926874020946,0.929395416185424
1996,1.43630820904478,1.55284248340442,1.22358730931751,1.25400954564362,1.20623416602388,0.812332088941021
1997,1.66937675776405,1.04120943406109,1.17290902572232,1.15845878640414,0.975298898516695,1.068202447559
1998,0.413042110358136,-0.159714201791913,0.449982784726742,0.792139010629245,0.583090983000062,0.774880250801423
1999,-0.732470513941961,-0.176146850749098,0.0202494696199798,0.374042955370879,-0.414791662880066,-0.0124814383769623
2000,0.380176812443765,0.939124681869779,0.381926283265866,-1.20362628113101,0.808443954478324,0.663643621442509
2001,1.49807255129579,1.63807572262331,1.2187760858968,2.82051419008766,1.5665734892735,0.643173565805332
2002,1.77807889395083,2.36463786571693,2.07578276090989,0.312632788459348,1.38957701691186,1.86655607463712
2003,2.95119683748303,2.38294727929247,2.18132448417859,2.46652124536437,2.17775658990458,1.5560486560895
2004,1.81469772110191,1.93272390374872,2.27221488166016,1.88899193444479,1.78237661448064,2.01042482477521
2005,2.05075008639554,1.45124299452141,1.57239457004824,1.67576129451648,0.82659658445209,1.18072836778299
2006,0.851735902647276,0.694072615517217,1.14629843914332,-0.0225681256123006,0.30902193168682,0.764601719296707
2007,0.536409328387158,0.0995411257365828,0.350272718040147,0.64061198898594,0.253893851467275,0.161739859107416
2008,-0.337327076913992,-0.267193007141513,0.000674438034710438,-0.13282428605139,-0.494944250610026,-0.116425504078037
2009,-0.197058937369034,-0.115003445800102,-0.189111322838065,-0.857064215168662,-0.405657618721911,-0.314713174498404
2010,-0.032947954231169,0.184993055796939,0.0576423914082813,0.0457489777248397,0.234872131967518,-0.129106650411209
2011,0.402934065825047,-0.366359691973769,-0.255222446059569,0.423995286210196,-0.166421129407436,-0.095697760363344
2012,-1.13565344977259,-0.296013780810488,-0.0630311652653093,-0.756837545025068,-0.796823146119295,-0.389883668676131
2013,0.54362588815161,1.67188572244884,0.736039331708364,-0.836808747213521,0.22872685580071,-0.0997946111412158
2014,2.80014555674607,2.77837949706689,2.03346162742847,1.29426245881494,1.98341973824316,1.04334357642426
2015,2.75661343738772,3.55465324875467,3.3031506847518,2.67257701767137,2.80264977736665,2.29985400451608
2016,4.35269306012162,3.57043518783181,3.29916127101711,2.93272253706193,3.11849789273301,2.9698576010458
2017,2.788177315542,3.16282326967513,3.55944653315729,3.30427324840409,3.30250853293848,3.17924653431296
2018,3.53746922380827,3.87275846755337,3.51123141688291,3.30074381747286,3.12295294412935,3.18339304555427
2019,4.20804771129846,3.4118898867041,3.45374966573882,2.94516207078584,2.39888774791384,2.69950643776685
2020,2.61573206210973,1.93717514762991,2.69413266885276,1.85261342504184,1.87326310233244,2.23056275848357
2021,1.25861823315009,NA,NA,1.89391277962303,0.685121117913255,1.07428522028945
