"year","annual.unsmoothed","annual.two.yr.running.mean","annual.three.yr.running.mean","winter.unsmoothed","winter.two.yr.running.mean","winter.three.yr.running.mean"
1950,2.8885963485432,2.94610170194798,NA,NA,NA,NA
1951,3.00360705535275,2.8230490944699,2.844898179161,0.281620906435855,0.613244926328243,NA
1952,2.64249113358705,3.02890664127118,3.02047344596504,0.94486894622063,0.801428585239383,0.62815935897154
1953,3.41532214895531,3.33390940770827,3.10343664966786,0.657988224258136,0.656834127923743,0.752845734022705
1954,3.25249666646123,3.10533110726817,3.20866145449722,0.65568003158935,0.719070911905217,0.698710016022856
1955,2.95816554807512,3.12304672406916,3.16619670486652,0.782461792221084,0.538310132240405,0.577433432023386
1956,3.28792790006321,3.69785561668978,3.45129226048489,0.294158472259726,0.359085412778488,0.500210872592687
1957,4.10778333331636,3.93124208673212,3.71680402450915,0.42401235329725,0.965669423096717,0.741832439484387
1958,3.75470084014789,3.5746163519921,3.75233867910018,1.50732649289618,1.10635761699101,0.878909195759754
1959,3.3945318638363,3.56192740510433,3.62618521678552,0.705388741085828,0.821974408464761,1.05042510327524
1960,3.72932294637236,3.49304368393011,3.46020641056551,0.938560075843694,0.910096322419764,0.841860461975119
1961,3.25676442148786,3.32277946956176,3.45829396183196,0.881632568995834,0.948417234171479,0.945131514728884
1962,3.38879451763566,3.43471989266668,3.37540140227374,1.01520189934712,1.00837101278832,0.966124864857492
1963,3.48064526769771,3.35981461413826,3.36947458197072,1.00154012622952,1.00784157593426,1.01029501707188
1964,3.23898396057881,3.18885086996602,3.28611566920992,1.014143025639,0.919233859693485,0.946669281872162
1965,3.13871777935323,3.42035032773059,3.35989487201333,0.824324693747971,1.01598062563053,1.01536809230002
1966,3.70198287610796,4.06248994076033,3.75456588695796,1.20763655751309,1.21900621392745,1.08744570720095
1967,4.4229970054127,3.9712294990766,3.88148062475372,1.2303758703418,1.1937555707135,1.19838256631336
1968,3.51946199274049,3.71600353013811,3.9516680218963,1.15713527108519,1.13954905739692,1.16982466171188
1969,3.91254506753572,3.78351649421551,3.69549832705717,1.12196284370866,1.20450513542433,1.18871518064462
1970,3.6544879208953,3.14034965436558,3.3977481254223,1.28704742714,1.20601063134018,1.17799470212967
1971,2.62621138783587,2.75540333560667,3.05509819736955,1.12497383554035,0.870588264183034,1.00940798516869
1972,2.88459528337747,3.08607254822614,2.93278549476271,0.616202692825715,0.800808732726974,0.9088637669981
1973,3.2875498130748,3.55476043641045,3.33137205206613,0.985414772628233,1.1202631368235,0.952242988824239
1974,3.82197105974611,3.53573696597306,3.45300791500697,1.25511150101877,1.18983314056773,1.1216936845879
1975,3.2495028722,3.24936914805496,3.44023645195201,1.1245547801167,0.910073477883932,1.02508615226221
1976,3.24923542390992,3.65263522628306,3.51825777492204,0.695592175651168,1.05084010963113,1.07541166645965
1977,4.05603502865619,4.1954668547389,3.88005637779591,1.4060880436111,1.49422863343355,1.22801648083942
1978,4.33489868082161,4.49688654337589,4.34993603846932,1.58236922325599,1.80818936130655,1.6741555887414
1979,4.65887440593016,4.19622678690396,4.24245075154318,2.03400949935711,1.85351107586558,1.76313045832905
1980,3.73357916787776,4.11791819622446,4.29823693279303,1.67301265237405,1.52641191857152,1.69561111216672
1981,4.50225722457116,4.03032036465468,3.93140663239571,1.37981118476898,1.55766004423334,1.59611091361358
1982,3.5583835047382,3.93345477665915,4.12305559262982,1.7355089036977,1.52235561128139,1.47484080244392
1983,4.3085260485801,4.22500997031388,4.00280114845532,1.30920231886507,1.57922818814676,1.63132175999708
1984,4.14149389204766,3.9906577825053,4.0966138711969,1.84925405742845,2.03059760076451,1.79013250679803
1985,3.83982167296294,3.95363173792105,4.01625245596325,2.21194114410057,2.03580826950651,1.97362353214716
1986,4.06744180287915,4.0934655733235,4.00891760653665,1.85967539491245,1.98952692662857,2.06366499911923
1987,4.11948934376785,4.05967874633107,4.0622664318471,2.11937845834469,1.95156573263557,1.9209356200612
1988,3.9998681488943,4.08380634193161,4.09570067587702,1.78375300692646,1.58553978017877,1.76348600623407
1989,4.16774453496891,4.08548310574062,4.05694478679185,1.38732655343108,1.45770567493029,1.56638811892901
1990,4.00322167651232,4.12264682958457,4.13767939804602,1.5280847964295,1.57032321528537,1.5093243280006
1991,4.24207198265682,3.90364208843965,3.93683528446387,1.61256163414123,1.69266358678374,1.637803989999
1992,3.56521219422247,3.95903141541346,4.05337827116124,1.77276553942626,1.5557135388481,1.57466290394581
1993,4.35285063660444,4.20860526146831,3.9941409057197,1.33866153826995,1.67127320067653,1.70510398025977
1994,4.06435988633218,4.03195431580543,4.13891975607176,2.00388486308311,1.64495949856827,1.54286017846883
1995,3.99954874527867,4.22650292860288,4.17245524784598,1.28603413405343,1.5831763769147,1.72341253897084
1996,4.45345711192708,4.5141710524114,4.34263028336716,1.88031861977598,1.85722582468532,1.66682859447469
1997,4.57488499289571,4.24761206212006,4.3162270787224,1.83413302959466,1.74560053035596,1.79050656016264
1998,3.92033913134441,3.6219351395662,3.93958509067604,1.65706803111727,1.55602219318628,1.64872580532241
1999,3.32353114778799,3.61337378818465,3.71569556923791,1.4549763552553,1.07368380782442,1.2681452155887
2000,3.90321642858132,4.19442627104737,3.90412789662757,0.692391260393533,1.66494921867178,1.59495826419962
2001,4.48563611351342,4.5585772654475,4.34012365315877,2.63750717695004,2.03140010066475,1.58506382057435
2002,4.63151841738158,4.93711354549336,4.78662106816671,1.42529302437947,1.94584676125542,2.17640023315363
2003,5.24270867360515,4.9466526845341,4.84160792881659,2.46640049813138,2.32682268480925,2.02631279799932
2004,4.65059669546305,4.71208791483337,4.88896150109063,2.18724487148712,2.1357110949467,2.24594089600826
2005,4.77357913420369,4.46123808178815,4.52435761967979,2.08417731840628,1.67372350717932,1.84489729528192
2006,4.14889702937262,4.06675502021714,4.30236305821266,1.26326969595237,1.42354767402928,1.64375755548828
2007,3.98461301106167,3.75700623871107,3.88763650226492,1.58382565210619,1.39690086409529,1.35235714138098
2008,3.52939946636047,3.5659390660747,3.70549704773702,1.20997607608439,1.03494110605697,1.21790262140671
2009,3.60247866578893,3.64522928365567,3.60661934455727,0.859906136029553,1.07809885615626,1.12205792946564
2010,3.68797990152242,3.80152638889404,3.735177147859,1.29629157628297,1.38770649088097,1.21177303926383
2011,3.91507287626566,3.51427357766782,3.57217568561935,1.47912140547897,1.19373664427894,1.22792162161362
2012,3.11347427906997,3.5509235459896,3.67230665608162,0.908351883078916,0.889024369619152,1.08572338157242
2013,3.98837281290922,4.57619215453023,4.08861952937681,0.869696856159388,1.38473609892542,1.22594136030992
2014,5.16401149615124,5.15267145684348,4.76457190886539,1.89977534169145,2.23288766786745,1.77849073063143
2015,5.14133141753572,5.55710730731315,5.42607537025918,2.56599999404344,2.62887220166225,2.38583991500532
2016,5.97288319709059,5.56532964117263,5.42399689996033,2.69174440928106,2.7815411258232,2.70969408189661
2017,5.15777608525467,5.35296528849054,5.55960459135722,2.87133784236533,2.87048484626221,2.81090470060183
2018,5.54815449172641,5.72283898949869,5.53448468808402,2.86963185015909,2.78369452763461,2.81290896587818
2019,5.89752348727097,5.48272810587642,5.50453690115975,2.69775720511012,2.43370904679554,2.57901664791673
2020,5.06793272448187,4.71440699698812,5.10877916041574,2.16966088848096,2.17964215435798,2.35234717127536
2021,4.36088126949436,NA,NA,2.18962342023499,1.60533966627339,1.79344674034258
2022,NA,NA,NA,1.02105591231178,NA,NA
