"year","trend","trend2","trend3","trend3_lag1","trend_lag1","trend2_lag1","trend2_lag2","log_mean","sd","log_mean_lag1"
1972,-1.3571303304354,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,-1.36924765793572,-1.36318899418556,NA,NA,-1.3571303304354,NA,NA,NA,NA,NA
1974,-1.40218764356121,-1.38571765074846,-1.37618854397744,NA,-1.36924765793572,-1.36318899418556,NA,NA,NA,NA
1975,-1.99697597858665,-1.69958181107393,-1.58947042669453,-1.37618854397744,-1.40218764356121,-1.38571765074846,-1.36318899418556,10.0592626420762,0.193286083397289,NA
1976,-2.00353221314389,-2.00025409586527,-1.80089861176392,-1.58947042669453,-1.99697597858665,-1.69958181107393,-1.38571765074846,10.0836348846204,0.181359891426523,10.0592626420762
1977,-0.605232281687608,-1.30438224741575,-1.53524682447272,-1.80089861176392,-2.00353221314389,-2.00025409586527,-1.69958181107393,9.96917495537094,0.244799650234349,10.0836348846204
1978,0.487273430555314,-0.0589794255661471,-0.707163688092062,-1.53524682447272,-0.605232281687608,-1.30438224741575,-2.00025409586527,9.91205338294932,0.212392718152501,9.96917495537094
1979,1.43159821808836,0.959435824321837,0.437879788985355,-0.707163688092062,0.487273430555314,-0.0589794255661471,-1.30438224741575,10.3026505240585,0.0870945958005903,9.91205338294932
1980,0.470224806180382,0.950911512134371,0.796365484941352,0.437879788985355,1.43159821808836,0.959435824321837,-0.0589794255661471,9.73593760787766,0.180008024536841,10.3026505240585
1981,0.841218534821581,0.655721670500981,0.914347186363441,0.796365484941352,0.470224806180382,0.950911512134371,0.959435824321837,8.9684998563248,0.336310192747366,9.73593760787766
1982,0.729996085771501,0.785607310296541,0.680479808924488,0.914347186363441,0.841218534821581,0.655721670500981,0.950911512134371,8.79649292973978,0.375841547765336,8.9684998563248
1983,0.0380133536179644,0.384004719694733,0.536409324737015,0.680479808924488,0.729996085771501,0.785607310296541,0.655721670500981,8.49469937962075,0.418818714215337,8.79649292973978
1984,-0.763638462362316,-0.362812554372176,0.00145699234238291,0.536409324737015,0.0380133536179644,0.384004719694733,0.785607310296541,9.15974019698397,0.240029369147469,8.49469937962075
1985,-0.212899859868661,-0.488269161115489,-0.312841656204338,0.00145699234238291,-0.763638462362316,-0.362812554372176,0.384004719694733,8.2532282638903,0.422662180536737,9.15974019698397
1986,-0.1732239686771,-0.193061914272881,-0.383254096969359,-0.312841656204338,-0.212899859868661,-0.488269161115489,-0.362812554372176,9.161647136441,0.214793630470719,8.2532282638903
1987,0.701667592561801,0.26422181194235,0.105181254672013,-0.383254096969359,-0.1732239686771,-0.193061914272881,-0.488269161115489,10.1532154920632,0.0433420130530019,9.161647136441
1988,-0.347616272812793,0.177025659874504,0.0602757836906358,0.105181254672013,0.701667592561801,0.26422181194235,-0.193061914272881,9.14196646509491,0.00363206414488406,10.1532154920632
1989,1.11338944618106,0.382886586684133,0.489146921976689,0.0602757836906358,-0.347616272812793,0.177025659874504,0.26422181194235,8.53027134176257,3.99095391275605e-05,9.14196646509491
1990,-0.472688840373539,0.32035030290376,0.0976947776649092,0.489146921976689,1.11338944618106,0.382886586684133,0.177025659874504,9.17191966426728,0.00763070997007081,8.53027134176257
1991,-0.791500155545993,-0.632094497959766,-0.0502665165794908,0.0976947776649092,-0.472688840373539,0.32035030290376,0.382886586684133,9.68319805731215,0.00329057695234208,9.17191966426728
1992,-1.243455368121,-1.0174777618335,-0.835881454680178,-0.0502665165794908,-0.791500155545993,-0.632094497959766,0.32035030290376,9.81068609655857,0.0580744390842934,9.68319805731215
1993,-0.0336404285716445,-0.638547898346322,-0.689531984079546,-0.835881454680178,-1.243455368121,-1.0174777618335,-0.632094497959766,10.2303020464165,NA,9.81068609655857
1994,-0.738824011135293,-0.386232219853469,-0.671973269275979,-0.689531984079546,-0.0336404285716445,-0.638547898346322,-1.0174777618335,10.1898229228777,0.000201967556066006,10.2303020464165
1995,-1.14327109719025,-0.941047554162772,-0.638578512299063,-0.671973269275979,-0.738824011135293,-0.386232219853469,-0.638547898346322,9.22054022613555,NA,10.1898229228777
1996,0.876557063718066,-0.133357016736092,-0.335179348202493,-0.638578512299063,-1.14327109719025,-0.941047554162772,-0.386232219853469,7.85453442030108,0.00192725630780775,9.22054022613555
1997,-0.054990599695071,0.410783232011497,-0.107234877722419,-0.335179348202493,0.876557063718066,-0.133357016736092,-0.941047554162772,7.34978392811497,NA,7.85453442030108
1998,0.0743845821789763,0.00969699124195239,0.29865034873399,-0.107234877722419,-0.054990599695071,0.410783232011497,-0.133357016736092,8.16675342439364,NA,7.34978392811497
1999,-0.628113328345549,-0.276864373083287,-0.202906448620548,0.29865034873399,0.0743845821789763,0.00969699124195239,0.410783232011497,7.51437759300198,0.01573790266919,8.16675342439364
2000,0.177331528766279,-0.225390899789635,-0.125465739133431,-0.202906448620548,-0.628113328345549,-0.276864373083287,0.00969699124195239,8.18471742242146,NA,7.51437759300198
2001,1.03406890311192,0.605700215939099,0.194429034510883,-0.125465739133431,0.177331528766279,-0.225390899789635,-0.276864373083287,8.29110072181268,NA,8.18471742242146
2002,0.751730111105392,0.892899507108656,0.654376847661197,0.194429034510883,1.03406890311192,0.605700215939099,-0.225390899789635,6.98605432484238,7.96510309458346e-05,8.29110072181268
2003,0.980415078655512,0.866072594880452,0.922071364290941,0.654376847661197,0.751730111105392,0.892899507108656,0.605700215939099,8.50410018900636,NA,6.98605432484238
2004,0.748409287044829,0.86441218285017,0.826851492268578,0.922071364290941,0.980415078655512,0.866072594880452,0.892899507108656,8.92066913533645,1.39036776158839e-05,8.50410018900636
2005,0.946583087663925,0.847496187354377,0.891802484454755,0.826851492268578,0.748409287044829,0.86441218285017,0.866072594880452,9.15038619820958,0.000838258653821745,8.92066913533645
2006,-0.373543992736865,0.28651954746353,0.44048279399063,0.891802484454755,0.946583087663925,0.847496187354377,0.86441218285017,8.72644494424439,0.16238404665035,9.15038619820958
2007,-1.14309526243539,-0.758319627586128,-0.190018722502777,0.44048279399063,-0.373543992736865,0.28651954746353,0.847496187354377,8.73939897330936,NA,8.72644494424439
2008,-1.54380936912337,-1.34345231577938,-1.02014954143188,-0.190018722502777,-1.14309526243539,-0.758319627586128,0.28651954746353,7.54901443680014,NA,8.73939897330936
2009,-1.55905515400487,-1.55143226156412,-1.41531992852121,-1.02014954143188,-1.54380936912337,-1.34345231577938,-0.758319627586128,9.25307976461289,NA,7.54901443680014
2010,-1.70185686959446,-1.63045601179967,-1.60157379757423,-1.41531992852121,-1.55905515400487,-1.55143226156412,-1.34345231577938,10.3365864034819,NA,9.25307976461289
2011,-0.158634537891124,-0.930245703742792,-1.13984885383015,-1.60157379757423,-1.70185686959446,-1.63045601179967,-1.55143226156412,9.26994896132959,NA,10.3365864034819
2012,-1.99560869029822,-1.07712161409467,-1.28536669926127,-1.13984885383015,-0.158634537891124,-0.930245703742792,-1.63045601179967,9.1936818057823,NA,9.26994896132959
2013,-1.19730808330724,-1.59645838680273,-1.11718377049886,-1.28536669926127,-1.99560869029822,-1.07712161409467,-0.930245703742792,9.03088479534239,NA,9.1936818057823
2014,0.64906483745246,-0.27412162292739,-0.847950645384334,-1.11718377049886,-1.19730808330724,-1.59645838680273,-1.07712161409467,9.48407448457192,NA,9.03088479534239
2015,1.08895724935834,0.8690110434054,0.180238001167853,-0.847950645384334,0.64906483745246,-0.27412162292739,-1.59645838680273,9.61910111296301,NA,9.48407448457192
2016,1.8215472718257,1.45525226059202,1.1865231195455,0.180238001167853,1.08895724935834,0.8690110434054,-0.27412162292739,9.99229708079686,NA,9.61910111296301
2017,0.656232848227407,1.23889006002655,1.18891245647048,1.1865231195455,1.8215472718257,1.45525226059202,0.8690110434054,10.1686878426462,NA,9.99229708079686
2018,2.1212309530254,1.3887319006264,1.53300369102617,1.18891245647048,0.656232848227407,1.23889006002655,1.45525226059202,10.2347141113184,NA,10.1686878426462
2019,2.16995288015992,2.14559191659266,1.64913889380424,1.53300369102617,2.1212309530254,1.3887319006264,1.23889006002655,7.15818380306532,NA,10.2347141113184
2020,1.29053101316703,1.73024194666347,1.86057161545078,1.64913889380424,2.16995288015992,2.14559191659266,1.3887319006264,NA,NA,7.15818380306532
2021,1.2698578457101,1.28019442943856,1.57678057967902,1.86057161545078,1.29053101316703,1.73024194666347,2.14559191659266,4.57135902183516,NA,5.86477141245024
2022,-0.0391742400634525,0.615341802823323,0.840404872937892,1.57678057967902,1.2698578457101,1.28019442943856,1.73024194666347,8.92720428677546,NA,4.57135902183516
